"Segment#","WSEL_m"
"       1"," 291.300"
"       2"," 291.300"
"       3"," 291.300"
"       4"," 291.300"
"       5"," 291.300"
"       6"," 291.300"
"       7"," 291.300"
"       8"," 291.300"
"       9"," 291.300"
"      10"," 291.300"
"      11"," 291.300"
"      12"," 291.300"
"      13"," 291.300"
"      14"," 291.300"
"      15"," 291.300"
"      16"," 291.300"
"      17"," 291.300"
"      18"," 291.300"
"      19"," 291.300"
"      20"," 291.300"
"      21"," 291.300"
"      22"," 291.300"
"      23"," 291.300"
"      24"," 291.300"
"      25"," 291.300"
"      26"," 291.300"
"      27"," 291.300"
"      28"," 291.300"
"      29"," 291.300"
"      30"," 291.300"
"      31"," 291.300"
"      32"," 291.300"
"      33"," 291.300"
"      34"," 291.300"
"      35"," 291.300"
"      36"," 291.300"
"      37"," 291.300"
"      38"," 291.300"
"      39"," 291.300"
"      40"," 291.300"
"      41"," 291.300"
"      42"," 291.300"
"      43"," 291.300"
