$Colville R Lake Roosevelt Model years 2011-2015,,,
Jday 1.0= 1/1/2011 12 am,,,
JDAY,N2,O2,
1,20.3,12.58,
46,20.5,12.85,
81,20.2,12.61,
116,19.1,11.79,
144,17.7,10.83,
179,16.8,10.25,
207,15.6,9.53,
235,15.2,9.19,
297,17.1,10.39,
332,19.2,11.85,
346,19.8,12.19,
365,20.2,12.58,
409.5,20.18,12.12,
444.5,20.27,11.11,
472.4,18.73,10.3,
501.7,15.95,8.98,
543.7,16.51,9.3,
571.6,14.7,9.54,
606.6,14.73,10.1,
634.6,15.86,12.04,
655.6,16.78,12.2,
676.6,17.62,10.38,
704.6,19.57,11.11,
739.5,21.4,13.1,
767.6,20.12,12.06,
795.6,20.5,12.02,
823.6,17.9,10.5,
858.6,15.99,9.5,
921.6,14.07,10.35,
949.6,14.06,9.1,
984.6,14.41,10.4,
1012,17.55,11.8,
1040,19.54,13,
1068,20.74,12.16,
1097,21.95,13.13,
1102.531,22.01,13.13,
1130.53,22,12.4,
1158.56,21.93,12.4,
1193.51,19.79,10.4,
1221.5,17.43,9.65,
1249.5,15.57,9.1,
1284.6,13.84,11.24,
1312.5,13.89,8.8,
1347.5,15.73,11.14,
1375.5,16.37,11.34,
1403.5,19.63,11.2,
1431.5,18.13,12.64,
1466.517,16.29,12.04,
1494.51,15.75,11.94,
1522.5,15.29,11.94,
1557.51,14.67,10.7,
1585.6,16.36,11.04,
1613.5,14.96,8.76,
1648.5,13.87,6.19,
1676.5,14.02,10.79,
1718.6,16.09,9.6,
1827,16.19,9.6,
