$Banks Lake Constituent Inflows -Lake Roosevelt Model year 2012-2013,
Jday 1.0 =1/1/2011,
jday,N2,DO,
   1.000    ,   21.56    ,   13.58    ,
   46.70    ,   20.32    ,   12.68    ,
   81.64    ,   19.42    ,   11.98    ,
   116.7    ,   18.38    ,   11.25    ,
   144.6    ,   16.66    ,   10.13    ,
   179.6    ,   15.47    ,   9.370    ,
   207.6    ,   15.01    ,   9.062    ,
   235.6    ,   14.09    ,   8.465    ,
   297.4    ,   18.31    ,   11.23    ,
   332.5    ,   20.82    ,   13.06    ,
   346.5    ,   22.01    ,   13.97    ,
   374.5    ,   21.30    ,   13.42    ,
   409.5    ,   20.19    ,   12.58    ,
   444.5    ,   20.30    ,   12.61    ,
   472.4    ,   18.71    ,   11.53    ,
   501.7    ,   16.02    ,   9.654    ,
   543.7    ,   16.52    ,   10.07    ,
   571.6    ,   14.73    ,   8.897    ,
   606.6    ,   14.77    ,   8.897    ,
   634.6    ,   15.86    ,   9.644    ,
   655.6    ,   16.75    ,   10.15    ,
   676.6    ,   17.58    ,   10.78    ,
   704.6    ,   19.53    ,   12.14    ,
   739.5    ,   21.39    ,   13.50    ,
   767.6    ,   20.12    ,   12.52    ,
   795.6    ,   20.48    ,   12.76    ,
   823.6    ,   17.94    ,   10.96    ,
   858.6    ,   16.00    ,   9.683    ,
   886.6    ,   15.51    ,   9.397    ,
   921.6    ,   14.11    ,   8.465    ,
   949.6    ,   14.07    ,   8.448    ,
   984.6    ,   14.44    ,   8.721    ,
   1012.    ,   17.58    ,   10.72    ,
   1040.    ,   19.55    ,   12.07    ,
   1068.    ,   20.75    ,   12.97    ,
   1103.    ,   22.00    ,   13.95    ,
   1131.    ,   22.00    ,   13.95    ,
   1159.    ,   21.91    ,   13.91    ,
   1222.    ,   17.48    ,   10.66    ,
   1250.    ,   15.61    ,   9.431    ,
   1285.    ,   13.88    ,   8.313    ,
   1313.    ,   13.85    ,   8.378    ,
   1348.    ,   15.71    ,   9.532    ,
   1376.    ,   16.35    ,   9.980    ,
   1461.    ,   21.56    ,   13.58    ,
   1586.    ,   16.37    ,   9.897    ,
   1614.    ,   14.96    ,   9.060    ,
   1649.    ,   13.94    ,   8.342    ,
   1677.    ,   14.03    ,   8.458    ,
   1719.    ,   16.10    ,   9.738    ,
   1827.    ,   21.56    ,   13.58    ,
