"Water_Body#","Parameter","Initial_Value","Units","Filename"
"   1","temperature","  2.9190    ","Celsius","Not Used",
"   1","TDS","  0.0000    ","g/m^3","Not Used",
"   1","N2","  20.027    ","g/m^3","Not Used",
"   1","PO4","  0.0000    ","g/m^3","Not Used",
"   1","NH4","  0.0000    ","g/m^3","Not Used",
"   1","NO3","  0.0000    ","g/m^3","Not Used",
"   1","DSI","  0.0000    ","g/m^3","Not Used",
"   1","PSI","  0.0000    ","g/m^3","Not Used",
"   1","FE","  0.0000    ","g/m^3","Not Used",
"   1","LDOM","  0.0000    ","g/m^3","Not Used",
"   1","RDOM","  0.0000    ","g/m^3","Not Used",
"   1","LPOM","  0.0000    ","g/m^3","Not Used",
"   1","RPOM","  0.0000    ","g/m^3","Not Used",
"   1","DO","  12.448    ","g/m^3","Not Used",
"   1","TIC","  0.0000    ","g/m^3","Not Used",
"   1","ALK","  0.0000    ","g/m^3","Not Used",
"   1","LDOM-P","  0.0000    ","mg/m^3","Not Used",
"   1","RDOM-P","  0.0000    ","mg/m^3","Not Used",
"   1","LPOM-P","  0.0000    ","mg/m^3","Not Used",
"   1","RPOM-P","  0.0000    ","mg/m^3","Not Used",
"   1","LDOM-N","  0.0000    ","mg/m^3","Not Used",
"   1","RDOM-N","  0.0000    ","mg/m^3","Not Used",
"   1","LPOM-N","  0.0000    ","mg/m^3","Not Used",
"   1","RPOM-N","  0.0000    ","mg/m^3","Not Used",
