"Water_Body#","Parameter","Initial_Value","Units","Filename"
"   1","temperature","  25.000    ","Celsius","Not Used",
"   1","TDS","  57.000    ","g/m^3","Not Used",
"   1","Gen1","  0.0000    ","days","Not Used",
"   1","Gen2","  0.0000    ","g/m^3","Not Used",
"   1","Gen3","  0.0000    ","g/m^3","Not Used",
"   1","Gen4","  6.0600    ","g/m^3","Not Used",
"   1","Gen5","  0.0000    ","g/m^3","Not Used",
"   1","Gen6","  0.0000    ","NTU","Not Used",
"   1","Gen7","  0.0000    ","g/m^3","Not Used",
"   1","Gen8","  0.0000    ","g/m^3","Not Used",
"   1","Gen9","  0.0000    ","g/m^3","Not Used",
"   1","Gen10","  0.0000    ","g/m^3","Not Used",
"   1","Gen11","  28.425    ","uS/cm","Not Used",
"   1","Gen12","  0.0000    ","NMP/10","Not Used",
"   1","Gen13","  0.0000    ","NMP/10","Not Used",
"   1","ISS1","  0.0000    ","kg/m^3","Not Used",
"   1","ISS2","  7.7000    ","g/m^3","Not Used",
"   1","PO4"," 0.48000E-01","g/m^3","Not Used",
"   1","NH4"," 0.50000E-01","g/m^3","Not Used",
"   1","NO3"," 0.12700    ","g/m^3","Not Used",
"   1","DSI","  0.0000    ","g/m^3","Not Used",
"   1","PSI","  0.0000    ","g/m^3","Not Used",
"   1","FE"," 0.10000    ","g/m^3","Not Used",
"   1","LDOM","  2.8890    ","g/m^3","Not Used",
"   1","RDOM","  2.8890    ","g/m^3","Not Used",
"   1","LPOM"," 0.86900    ","g/m^3","Not Used",
"   1","RPOM"," 0.86900    ","g/m^3","Not Used",
"   1","ALG1"," 0.10000    ","g/m^3","Not Used",
"   1","DO","  5.6400    ","g/m^3","Not Used",
"   1","TIC","  5.1300    ","g/m^3","Not Used",
"   1","ALK","  16.505    ","g/m^3","Not Used",
"   1","ZOO1"," 0.10000    ","mg/m^3","Not Used",
"   1","LDOM-P"," 0.58900E-02","g/m^3","Not Used",
"   1","RDOM-P"," 0.58900E-02","g/m^3","Not Used",
"   1","LPOM-P"," 0.16900E-02","g/m^3","Not Used",
"   1","RPOM-P"," 0.16900E-02","g/m^3","Not Used",
"   1","LDOM-N"," 0.32450    ","g/m^3","Not Used",
"   1","RDOM-N"," 0.32450    ","g/m^3","Not Used",
"   1","LPOM-N"," 0.73500E-01","g/m^3","Not Used",
"   1","RPOM-N"," 0.73500E-01","g/m^3","Not Used",
